Name,Ubicación,Unidades,Players,Age,Language
SUPER MUNCHKIN,R2,1,3--6,10+,Español/Inglés
SUPERTEST,L0,1,2--20,14+,Español
SUSHI GO,R4,2,2--5,8+,Español
SUSHI GO PARTY,R4,1,2--8,8+,Español
T.I.M.E STORIES,G3,1,2--4,12+,Español
T.I.M.E STORIES: BAJO LA MÁSCARA,G3,1,2--4,12+,Español
T.I.M.E STORIES: EL CASO MARCY,G3,1,2--4,12+,Español
T.I.M.E STORIES: PROFECIA DE LOS DRAGONES,G3,1,2--4,12+,Español
TABERNA,F2,2,2--5,12+,Español
TABLERO PARCHÍS/OCA 6 JUGADORES,T7,1,6,5+,Independiente
TABLERO PARCHIS/OCA MADERA AQUAMARINE,T7,2,2--4,6+,Independiente
TABÚ,P2,1,4+,13+,Español
TAKENOKO,J2,1,2--4,8+,Español
TANGRAM ORIGINAL,T0,1,1+,6+,Independiente
TARGET EARTH,A2,1,1--4,12+,Español/Inglés
TAXIMANIA,O0,1,2--6,7+,Español
TELESKETCH,U5,1,1,2+,Español
TERRA,I1,1,2--6,10+,Español
TERRA MYSTICA,B4,1,2--5,12+,Independiente
TERRA MYSTICA: EXPANSIÓN FUEGO Y HIELO,B4,1,2--5,12+,Independiente
TERRAFORMING MARS,B3,1,1--5,12+,Español
TESOROS INESPERADOS,Q2,1,3--6,13+,Español
TEXAS HOLDEM POKER,R00,1,1--99,14+,español
THE ADVENTURERS,C3,1,2--6,13+,Independiente
THE CHEF KING,L3,1,1--4,5+,Español/ingles
THE COUNSINS' WAR,C5,1,2,12+,Español
THE GAME OF LIFE,P2,1,2--4,8+,Español
THE HIVE POCKET,Q3,1,2,8+,Español
THE ISLAND,J5,1,2--4,8+,ESPAÑOL
THE MIND,R5,1,2--4,8+,Español
THE OTHERS,A1,1,2--5,14+,Español
THE POSSESION,C1,1,3--5,14+,Español/Inglés
THE WITCHER,M2,1,2,12+,Español
THE WRITER,K1,1,2--4,9+,Independiente
THROUGH THE AGES: UNA NUEVA HISTORIA DE CIVILIZACIÓN,C3,1,2--4,14+,Español
TIBURON ATACA,U6,1,2--4,5+,Español
TICKET TO MARS,M3,1,2--5,8+,Independiente
TICKET TO RIDE,K3,1,2--5,8+,Inglés
TIC-TAC BOUM,P2,1,2--12,8+,Español
TIME OF SOCCER,A0,1,1--4,12+,Español/Inglés
TIMEBOMB,N4,2,4--8,8+,Español
TIMELINE: CIENCIA Y DESCUBRIMIENTOS,Q4,1,2--8,8+,Español
TIMELINE: EVENTOS,Q4,1,2--8,8+,Español
TIMELINE: INVENTOS,Q4,1,2--8,8+,Español
TIMELINE: MULTITEMÁTICA,Q4,1,2--8,8+,español
TIMELINE: MÚSICA Y CINE,Q4,1,2--8,8+,Español
TIME'S UP ACADEMY 1,Q5,1,4--12,12+,Español
TIMES UP FAMILY,Q6,1,4--12,8+,Español
TIMES UP KIDS,Q6,1,2--12,4+,Español
TIMES UP KIDS 2 PANDA,Q6,1,4--12,4+,Español
TIME'S UP PARTY 1 AMARILLO,Q6,2,4--12,12+,Español
TIMES UP PARTY AZUL,Q6,1,4--12,12+,Español
TIP TOPS,I4,1,2--6,6+,Español
TITAN RACE,M4,1,2--6,8+,Español
TOKAIDO,F4,1,2--5,8+,Español
TOMA 6,R5,3,2--10,8+,Español
TOMB: CRYPTMASTER,D0,1,1--6,13+,Inglés
TOPOUM,B4,1,2--4,12+,Independiente
TOPOUM: EXPASIÓN BRATATATATA,B4,1,2--4,12+,Independiente
TORRE DE RATONES,U8,1,2--4,4+,Español/Portugués
TORTILLA PATATAS,M3,2,2--4,6+,Español/Inglés
TOTAL RUMBLE,R3,1,3--12,8+,Español/Inglés
TOWN OF SALEM,Q7,1,5--40,8+,Inglés
TOZUDO,U6,1,2--4,4+,Español/Portugués
TRAGABOLAS,U5,1,2,5+,Español
TRAGABOLAS DE VIAJE,X7,1,2,4+,Español
TRAGEDY LOOPER,C1,2,2--4,13+,Español
TRANVÍA,L4,1,2,8+,Español
TRAPPIST ONE,L2,1,2--4,12+,Español
TRES HURRAS POR EL AMO,N4,1,2--6,14+,Español
TRICKY TREE,U8,1,2--4,5+,Español
TRIKY SALTA PIRATA,X6,1,1+,3+,Español/Portugués
TRIOMINOS,M2,1,1--6,6+,Independiente
TRIVIAL PURSUIT DVD,P4,1,2--24,15+,Español
TRIVIAL PURSUIT GENUS,P5,1,2--36,15+,Español
TRIVIAL PURSUIT GENUS,O4,1,2--24,12+,Español
TRIVIAL PURSUIT HARRY POTTER,O4,1,2--6,16+,Inglés
TRIVIAL PURSUIT MARVEL,O4,1,2--24,12+,Inglés
TRIVIAL PURSUIT PARTY,P5,1,3--6,16+,Español
TRIVIAL PUSUIT FAMILIA,X5,1,2--36,12+,Español
TRIVIAL THE BIG BANG THEORY,O4,1,2--10,12+,Español
TROYES,E4,1,1--4,12+,Español
TRUE STORIES,Q2,1,2--6,12+,Español
TWEEGLES,Q4,1,2--5,6+,Español
TWILIGHT STRUGGLE,B2,1,2,14+,Español
TWISTER,X2,1,2+,6+,Español/Portugués
TZOLK'IN (EL CALENDARIO MAYA),E1,2,2--4,13+,Independiente
UBONGO,J2,1,2--4,8+,Español
UN IMPERIO EN 8 MINUTOS,L3,2,2--5,12+,Español
UNO! JUEGO DE CARTAS,Q5,1,2--10,7+,Independiente
UPSTREAM,J2,1,2--5,8+,Español
VALERIA,N1,1,1--5,13+,español
VALLE DE LOS REYES,Q3,1,2--4,14+,Español
VAMPIR MAU MAU,Q3,1,2--4,8+,Español
VERSAILLES,N5,1,2--5,12+,Español/Inglés
VETTRIP,L1,1,2...,8+,Español
VIERNES,Q2,1,1,10+,Español
VIRREY,G2,2,1--4,12+,Español
VIRUS,R5,3,1--6,14+,Independiente
VIRUS! 2: EVOLUTION,R5,1,2--6,8+,Español
VISUAL PANIC,Q4,1,2--7,8+,Español
WALKING ON THE MOON MARCH ON MARCH,R9,1,2--5,10+,Español
WAREHOUSE 51,O4,1,3--5,8+,Español
WATERLOO 1815,C5,1,2--8,12+,Español
WELLCOME HACIA EL PERFECTO HOGAR,N5,1,1--100,10+,
WHAT`S UP,Q7,2,2--4,8+,Español
WHITE STORIES,Q1,1,2--15,8+,Español
WIZARD,R3,1,3--6,10+,Español/Portugués
YANGTZE,L5,1,2--4,8+,Español/Portugués/Italiano
YLANDYSS,Q3,1,2--4,14+,Español
YO FUI A EGB,O5,1,2--6,12+,Español
ZEN MASTER,Q8,1,3--5,8+,Español/Inglés
ZOMBICIDE,D1,2,1--6,13+,Español
ZOMBIE TSUNAMI,D3,1,3--6,14+,Español
ZOMBIES,D3,1,2--6,12+,Español
ZOMBIES TERCERA EDICION,D3,1,2--6,12+,Español
ZOMBIES!! 6: A DOS METROS BAJO TIERRA,D3,1,2--6,16+,Español
ZOMBIES!!! 11: MUERTE S.A.,D3,1,2--6,16+,Español
ZOMBIES!!! 4,D3,1,2--6,16+,Español
ZOMBIS 15',D2,1,2--4,14+,Español
