Name,Ubicación,Unidades,Players,Age,Language
"CATAN, LOS COLONOS DE AMÉRICA",G4,1,3--4,12+,Español
"CATAN, LOS COLONOS DE EUROPA",G4,1,3--4,12+,Español
"CATAN, PIRATAS Y EXPLORADORES",EPP,1,2--4,12+,Español
CATAN: CIUDADES Y CABALLEROS,H1,1,3--4,12+,Español
CATAN: EL JUEGO,H2,2,3--4,10+,Español
CATAN: EL JUEGO DE CARTAS,M4,2,2--4,8+,Español
CATAN: EXPANSIÓN CIUDADES Y CABALLEROS (6 JUGADORES),H1,1,3--6,12+,Español
CATAN: EXPANSIÓN MERCADERES Y BÁRBAROS (6 JUGADORES),H1,1,2--6,10+,Español
CATAN: LOS PRÍNCIPES DE CATAN,M4,2,2,10+,Español
CATAN: MERCADERES Y BÁRBAROS,H1,1,2--4,10+,Español
CATAN: NAVEGANTES,H1,1,3--4,10+,Español
CAVERNA,E2,1,1--7,12+,Español
CAYLUS,F3,1,2--5,12+,Español
CAZA FANTASMAS,K5,1,1,6+,Español
CELESTIA,N5,1,2--6,8+,Español
CELESTIA: EXPANSIÓN UNA MANO AL CAPITÁN (DENTRO DEL BÁSICO),N3,1,2--6,8+,Español
CERILLAS,Q8,1,2+,10+,Español
CHARIOT RACE,M5,2,2--6,8+,Español/Portugués
CHECKPOINT CHARLIE,N3,1,3--5,10+,Español
CHIVATOS Y LADRONES,M2,1,2--5,9+,Español
CIUDAD DE MACHI KORO,F2,1,2--4,10+,Español
CIUDADELAS TERCERA EDICIÓN,N4,2,2--8,10+,Español
CIVILIZATION,E2,1,2--7,12+,Español
CLUEDO,CLASICOS 2,1,2--6,8+,Español
CLUEDO (DE VIAJE),CLASICOS 2,1,2--6,8+,Español
CLUEDO GRAB & GO,CLASICOS 2,1,2--4,8+,Español
CLUEDO JUNIOR,X7,1,2--6,12+,Español
COBARDES,Q2,1,2,10+,Español
COCODRILO SACAMUELAS,EPR,1,2--12,3+,Español
COCORICÓ COCOROCÓ,U8,1,2--4,2+,Español/Portugués
CÓDIGO SECRETO,M2,2,2--8,14+,Español
CODIGO SECRETO IMÁGENES,M2,2,2--8,10+,Español
COLOCA 4,P2,1,2,6+,Español/Portugués/Francés/Inglés
COLONOS DEL IMPERIO,E1,2,1--4,10+,Español
COLONOS DEL IMPERIO EXPANSION ¿POR QUÉ TANTO ODIO? (DENTRO DEL BÁSICO),E1,1,1--4,10+,Español
COLONOS DEL IMPERIO EXPASIÓN ATLANTES,E1,1,1--5,10+,Español
COLORETTO,R8,1,2--5,8+,Español/Portugués
COLORFOX,Q8,1,2--4,6+,Español/Inglés
COLORPOP,J4,1,1--5,8+,
COLOSSAL ARENA,N4,1,2--5,8+,Español
COLOSSEUM,G2,1,3--5,10+,Español
COLOUR CODE,K5,1,1,5+,Español
COLT EXPRESS,F5,1,2--6,10+,Español
COLT EXPRESS CABALLOS Y DILIGENCIAS,F5,1,2--6,10+,Español
COMBAT COMANDER EUROPA,C5,1,2,14+,Español
COMECOCOS,T00,1,2--4,7+,Español/Inglés/ALEMAN/Francés
CO-MIX,K1,1,3--10,6+,Español/Francés
CONAN EL JUEGO DE CARTAS,Q2,1,2--4,13+,Español
CONCEPT,J2,1,4--12,10+,Español
CONECTOR APRENDO Inglés,V9,2,1+,7+,Español
CONECTOR ASOCIO Y APRENDO,V9,1,1+,4+,Español
CONECTOR JUNIOR FROZEN,U2,1,1+,3+,Independiente
CONECTOR JUNIOR PEPPA,U2,1,1+,3+,Español/ Francés/ Portugués
CONECTOR MUNDO ANIMAL,V9,1,1+,7+,Español
CONQUISTA EL TRONO,U7,1,2--4,6+,Español
CONTRAST,Q7,1,2--6,8+,Español
COPÉRNICO,M3,1,1--5,10+,Español
COPY OR NOT COPY,Q4,1,1--6,7+,Independiente
CORTEX CHALLENGE,T8,1,2--6,9+,Independiente
CORTEX GEO,T8,1,2--6,9+,Independiente
CORTEX KIDS,T8,1,2--6,8+,Independiente
CORTEX KIDS 2,T8,1,2--6,6+,Independiente
COSMIC ENCOUNTERS,B1,1,3--5,13+,Español
COSTA RICA,L3,1,2--5,8+,Español
COUP: CIUDAD CORRUPTA,R8,1,2--10,10+,Español
COVENANT,N3,1,3--5,10+,Español/Inglés
Covil: Los señores oscuros,C1,1,1--4,14+,Español
Covil: maldad caótica,C1,1,1--4,14+,Español
COYOTE,V8,1,3--6,10+,Independiente
CRANIUM,O4,1,4--6,13+,Español
CRANIUM HULLABALOO,V6,1,1--6,4+,Español
CRAZY CLACK,J2,1,2--6,3+,Español
CRAZY THERAPY,R5,1,6+,12+,Español
CRISIS TOKYO,N4,1,2--5,14+,Español
CRÓNICAS,M4,1,3--6,12+,Español
CROWDFUNDING: EL JUEGO,N2,1,2--6,12+,Español
CTHULHU DADOS,R5,4,2--6,10+,Español
CTHULHU REALMS,N4,1,2--4,14+,Español
CUBULUS,J4,1,2--3,8+,Independiente
CUEVA DE TROLL,C4,1,2--4,10+,Español
CULTURA FRIKI,O4,1,2--10,14+,Español
CV: LA CARRERA DE LA VIDA,F1,1,2--4,10+,Español
CYCLING PARTY,L5,1,2--6,10+,Español/Inglés
DADOS NINJA,Q3,1,2--5,9+,Español
DADOS ZOMBIE,R5,2,2--99,10+,Independiente
DADOS ZOMBIE 2: SESIÓN DOBLE ( dentro del basico ),R5,1,2--99,10+,Independiente
DADOS ZOMBIE 3: AUTOBÚS ESCOLAR ( dentro del basico ),R5,1,2--99,10+,Independiente
DAMAS,Z3,3,2+,6+,Independiente
