Name,Ubicación,Unidades,Players,Age
CAPITAN FLINT,V9,1,2--6,8+
CARCASSONE MINIEXPANSIONES EL RIO Y EL ABAD,EPP,1,2--5,7+
CARCASSONNE,H3,1,2--5,7+
CARCASSONNE + RÍO Y ABAD,H3,1,2 -- 5,7+
CARCASSONNE JUNIOR,X8,1,2--4,4+
CARCASSONNE: COLINAS Y OVEJAS,H3,1,2--6,8+
CARCASSONNE: LA ABADIA Y EL ALCALDE,H3,1,2--6,8+
CARCASSONNE: LA TORRE,H3,1,2--6,8+
CARCASSONNE: MERCADOS Y PUENTES,H3,1,2--6,8+
CARCASSONNE: POSADAS Y CATEDRALES + RÍO,EPP,EPR,2--6,8+
CARD WARS: BMO CONTRA LADY ARCO IRIS,N4,1,2,10+
CARD WARS: FINN CONTRA JAKE,N4,1,2,10+
CARD WARS: PRINCESA CHICLE CONRA PRINCESA DEL ESPACIO BULTOS,N4,1,2,10+
CARDS AGAINST DOWNTIME,R2,1,3 +,17+
CARDS AGAINST HUMANITY,R2,1,3--99,18+
CARDS AGAINST HUMANITY (ENGLISH VERSION),R2,1,3--99,18+
CARDS AGAINST HUMANITY (EPIC EDITION),R2,2,3--99,18+
CARGOLINO VALENTINO,I3,1,2--6,5+
CARTAGENA,F3,1,2--5,8+
CASH'N GUNS SECOND EDITION,L1,1,4--8,1+
CASH'N GUNS: EXPANSION MORE GUNS,L1,1,4--8,10+
CASH'N GUNS: EXPANSION TEAM SPIRIT,L1,1,4--9,10+
CASTLECARDS,Q7,1,2--4,9+
CAT BOX,Q5,1,2--5,6+
CATAN DE DADOS,N3,1,1--4,7+
CATAN EXPANSIÓN 5 Y 6 JUGADORES,H2,2,5--6,10+
CATAN EXPANSIÓN NAVEGANTES 5 Y 6 JUGADORES,H1,1,5--6,10+
CATAN PLUS,H2,1,3--6,10+
"CATAN, EDICIÓN VIAJE",G4,1,2--4,10+
"CATAN, JUNIOR",X8,1,2--4,6+
"CATAN, LOS COLONOS DE AMÉRICA",G4,1,3--4,12+
"CATAN, LOS COLONOS DE EUROPA",G4,1,3--4,12+
"CATAN, PIRATAS Y EXPLORADORES",EPP,1,2--4,12+
CATAN: CIUDADES Y CABALLEROS,H1,1,3--4,12+
CATAN: EL JUEGO,H2,2,3--4,10+
CATAN: EL JUEGO DE CARTAS,M4,2,2--4,8+
CATAN: EXPANSIÓN CIUDADES Y CABALLEROS (6 JUGADORES),H1,1,3--6,12+
CATAN: EXPANSIÓN MERCADERES Y BÁRBAROS (6 JUGADORES),H1,1,2--6,10+
CATAN: LOS PRÍNCIPES DE CATAN,M4,1,2,10+
CATAN: MERCADERES Y BÁRBAROS,H1,1,2--4,10+
CATAN: NAVEGANTES,H1,1,3--4,10+
CATS,Q9,1,2--5,10+
CAVERNA,E2,1,1--7,12+
CAYLUS,F3,1,2--5,12+
CAZA FANTASMAS,K5,1,1,6+
CELESTIA,N5,1,2--6,8+
CELESTIA: EXPANSIÓN UNA MANO AL CAPITÁN (DENTRO DEL BÁSICO),N5,1,2--6,8+
CERILLAS,Q8,1,2+,10+
CHARIOT RACE,M5,2,2--6,8+
CHECKPOINT CHARLIE,N3,1,3--5,10+
CHIVATOS Y LADRONES,M2,1,2--5,9+
CIUDAD DE MACHI KORO,F2,1,2--4,10+
CIUDADELAS TERCERA EDICIÓN,N4,2,2--8,10+
CIVILIZATION,E2,1,2--7,12+
CLUEDO,CLASICOS 2,1,2--6,8+
CLUEDO (DE VIAJE),CLASICOS 2,1,2--6,8+
CLUEDO GRAB & GO,CLASICOS 2,1,2--4,8+
CLUEDO JUNIOR,X7,1,2--6,12+
COBARDES,Q2,1,2,10+
COCODRILO SACAMUELAS,EPR,1,2--12,3+
COCORICÓ COCOROCÓ,U8,1,2--4,2+
COCORROTO,R2,1,3+,16+
CÓDIGO SECRETO,M2,2,2--8,14+
CODIGO SECRETO IMÁGENES,M2,2,2--8,10+
COLOCA 4,P2,1,2,6+
COLONOS DEL IMPERIO,E1,2,1--4,10+
COLONOS DEL IMPERIO EXPANSION ¿POR QUÉ TANTO ODIO? (DENTRO DEL BÁSICO),E1,1,1--4,10+
COLONOS DEL IMPERIO EXPASIÓN ATLANTES,E1,1,1--5,10+
COLORETTO,R8,1,2--5,8+
COLORFOX,Q8,1,2--4,6+
COLORPOP,J4,1,1--5,8+
COLOSSAL ARENA,N4,1,2--5,8+
COLOSSEUM,G2,1,3--5,10+
COLOUR CODE,K5,1,1,5+
COLT EXPRESS,F5,1,2--6,10+
COLT EXPRESS CABALLOS Y DILIGENCIAS,F5,1,2--6,10+
COMBAT COMANDER EUROPA,C5,1,2,14+
COME-COCOS,CLASICOS 2,1,2--4,7+
CO-MIX,K1,1,3--10,6+
CONAN EL JUEGO DE CARTAS,Q2,1,2--4,13+
